id,name,description,url,category,language,country
national-geographic,National Geographic,Reporting our world daily: original nature and science news from National Geographic.,http://news.nationalgeographic.com,science,en,us
new-scientist,New Scientist,"Breaking science and technology news from around the world. Exclusive stories and expert analysis on space, technology, health, physics, life and Earth.",https://www.newscientist.com/section/news,science,en,us
next-big-future,Next Big Future,"Coverage of science and technology that have the potential for disruption, and analysis of plans, policies, and technology that enable radical improvement.",https://www.nextbigfuture.com,science,en,us
