author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Meredith Dietz,Create a 'Career Search Action Plan' Before You Look for a New Job,"Searching for a job can feel like a full time job itself. It’s easy to feel defeated when it feels like you’re sending your resume out into the void and hearing nothing back the majority of the time. Maybe you’re graduating soon, or making a career pivot, or …",https://lifehacker.com/create-a-career-search-action-plan-before-you-look-for-1848700028,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/0e1803729843394f72d5e8cbb19939f8.jpg",2022-03-25T13:30:00Z,Searching for a job can feel like a full time job itself. Its easy to feel defeated when it feels like youre sending your resume out into the void and hearing nothing back the majority of the time. M… [+4643 chars],,Lifehacker.com
Meredith Dietz,How to Organize a Strike (and Win),"Strikes are on the rise. Earlier today, Major League Baseball and the players’ union reached a (tentative) agreement for the 2022 season—it only took 99 days of a tense lockout to get there. Meanwhile, over in Minneapolis, teachers are entering their third da…",https://lifehacker.com/how-to-organize-a-strike-and-win-1848628319,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c438d8199111e36732f81c30f186671c.gif",2022-03-10T21:30:00Z,"Strikes are on the rise. Earlier today, Major League Baseball and the players union reached a (tentative) agreement for the 2022 seasonit only took 99 days of a tense lockout to get there. Meanwhile,… [+10390 chars]",,Lifehacker.com
Meredith Dietz,"Finally, There’s a Wordle Clone for Music-Lovers","Going “viral” used to actually mean something. The online content market has never been more saturated, and after years of subjecting ourselves to a little bit of everything all of the time, you’d think someone would be gatekeeping what counts as “viral.” Ala…",https://lifehacker.com/finally-there-s-a-wordle-clone-for-music-lovers-1848649747,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c99b5ed7ccbbea0b6df016436c18ff63.png",2022-03-14T16:30:00Z,"Going viral used to actually mean something. The online content market has never been more saturated, and after years of subjecting ourselves to a little bit of everything all of the time, youd think… [+2649 chars]",,Lifehacker.com
Meredith Dietz,Everything You Should Do on the First Day of a Remote Job,"Many of us adjusted to WFH life over the past two years, maybe even joining the so-called “great resignation” to avoid a forced return to an in-person office. Given the opportunity to start a remote gig, there’s no shortage of reasons to opt for the perks of …",https://lifehacker.com/everything-you-should-do-on-the-first-day-of-a-remote-j-1848666722,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/5b04a7df0b88f5bd420e4d11b97fbede.jpg",2022-03-17T16:00:00Z,"Many of us adjusted to WFH life over the past two years, maybe even joining the so-called great resignation to avoid a forced return to an in-person office. Given the opportunity to start a remote gi… [+5426 chars]",,Lifehacker.com
